,ADULT,COVTYPE,LETTER
Logistic,0.8413333333333334,0.7738666666666667,0.7277333333333335
KNN,0.8224,0.7904,0.9512
RandomForest,0.8506666666666667,0.8333333333333334,0.9410666666666666
